y,Ux,Ux_RESID
4.13,-0.622469,-0.672086
2.810268,-0.325498,-0.375115
2.810268,-0.325498,-0.375115
2.798722,-0.328272,-0.377889
2.798722,-0.328272,-0.377889
1.479002,-0.315804,-0.365421
1.479002,-0.315804,-0.365421
1.467211,-0.309453,-0.35907
1.467211,-0.309453,-0.35907
0.14751,-0.060892,-0.110509
0.14751,-0.060892,-0.110509
0.136327,-0.059287,-0.108904
0.136327,-0.059287,-0.108904
-1.183354,-0.244939,-0.294556
-1.183354,-0.244939,-0.294556
-1.194231,-0.262715,-0.312332
-1.194231,-0.262715,-0.312332
-2.513891,-0.193019,-0.242636
-2.513891,-0.193019,-0.242636
-2.524635,-0.183024,-0.232641
-2.524635,-0.183024,-0.232641
-3.844272,0.046739,-0.002878
-3.844272,0.046739,-0.002878
-3.854962,0.044999,-0.004617
-3.854962,0.044999,-0.004617
-5.174573,-0.016153,-0.06577
-5.174573,-0.016153,-0.06577
-5.185253,-0.017563,-0.06718
-5.185253,-0.017563,-0.06718
-6.504833,0.076905,0.027288
-6.504833,0.076905,0.027288
-6.515533,0.076563,0.026946
-6.515533,0.076563,0.026946
-7.835075,0.07103,0.021413
-7.835075,0.07103,0.021413
-7.84582,0.071002,0.021385
-7.84582,0.071002,0.021385
-9.165312,0.070876,0.021259
-9.165312,0.070876,0.021259
-9.176132,0.070898,0.021281
-9.176132,0.070898,0.021281
-10.495562,0.069284,0.019667
-10.495562,0.069284,0.019667
-10.506497,0.069248,0.019631
-10.506497,0.069248,0.019631
-11.825854,0.066122,0.016505
-11.825854,0.066122,0.016505
-11.83698,0.066102,0.016485
-11.83698,0.066102,0.016485
-13.156273,0.063088,0.013471
-13.156273,0.063088,0.013471
-13.167744,0.06306,0.013443
-13.167744,0.06306,0.013443
-14.487044,0.061637,0.01202
-14.487044,0.061637,0.01202
-14.499133,0.061622,0.012005
-14.499133,0.061622,0.012005
-15.818604,0.05894,0.009323
-15.818604,0.05894,0.009323
-15.830306,0.058906,0.009289
-15.830306,0.058906,0.009289
-17.149959,0.054784,0.005167
-17.149959,0.054784,0.005167
-17.162957,0.054751,0.005134
-17.162957,0.054751,0.005134
-18.384716,0.046465,-0.003151
-18.384716,0.046465,-0.003151
-19.620951,0.046723,-0.002894
-19.620951,0.046723,-0.002894
-19.634608,0.046777,-0.00284
-19.634608,0.046777,-0.00284
-19.647675,0.046891,-0.002726
-19.647675,0.046891,-0.002726
-20.899408,0.053555,0.003939
-20.899408,0.053555,0.003939
-22.165972,0.063589,0.013972
-22.165972,0.063589,0.013972
-22.179032,0.063684,0.014067
-22.179032,0.063684,0.014067
-22.192275,0.063853,0.014237
-22.192275,0.063853,0.014237
-23.473795,0.071596,0.021979
-23.473795,0.071596,0.021979
-24.770498,0.081382,0.031765
-24.770498,0.081382,0.031765
-24.783794,0.081531,0.031915
-24.783794,0.081531,0.031915
-24.797123,0.081614,0.031997
-24.797123,0.081614,0.031997
-26.109347,0.08605,0.036433
-26.109347,0.08605,0.036433
-27.437119,0.084545,0.034929
-27.437119,0.084545,0.034929
-27.450508,0.08448,0.034863
-27.450508,0.08448,0.034863
-27.463429,0.084384,0.034767
-27.463429,0.084384,0.034767
-28.807593,0.07718,0.027563
-28.807593,0.07718,0.027563
-30.167683,0.064049,0.014432
-30.167683,0.064049,0.014432
-30.180659,0.063913,0.014296
-30.180659,0.063913,0.014296
-30.19009,0.063855,0.014238
-30.19009,0.063855,0.014238
-31.569988,0.062027,0.01241
-31.569988,0.062027,0.01241
-31.585158,0.06203,0.012413
-31.585158,0.06203,0.012413
-33.003462,0.061908,0.012291
-33.003462,0.061908,0.012291
-34.639639,0.061629,0.012012
-34.639639,0.061629,0.012012
-34.656124,0.061626,0.012009
-34.656124,0.061626,0.012009
-36.551091,0.061312,0.011695
-36.551091,0.061312,0.011695
-36.562684,0.06131,0.011693
-36.562684,0.06131,0.011693
-38.7519,0.061002,0.011386
-38.7519,0.061002,0.011386
-38.761689,0.061001,0.011384
-38.761689,0.061001,0.011384
-41.289739,0.060654,0.011037
-41.289739,0.060654,0.011037
-41.29834,0.060653,0.011036
-41.29834,0.060653,0.011036
-41.312393,0.060651,0.011034
-41.312393,0.060651,0.011034
-44.225449,0.060297,0.01068
-44.225449,0.060297,0.01068
-47.585992,0.059902,0.010285
-47.585992,0.059902,0.010285
-47.601092,0.0599,0.010283
-47.601092,0.0599,0.010283
-51.483393,0.059266,0.00965
-51.483393,0.059266,0.00965
-51.495263,0.059264,0.009647
-51.495263,0.059264,0.009647
-55.976755,0.058574,0.008957
-55.976755,0.058574,0.008957
-55.987561,0.058572,0.008955
-55.987561,0.058572,0.008955
-61.159764,0.057783,0.008166
-61.159764,0.057783,0.008166
-61.169851,0.05778,0.008163
-61.169851,0.05778,0.008163
-67.138806,0.056295,0.006678
-67.138806,0.056295,0.006678
-67.148087,0.056292,0.006675
-67.148087,0.056292,0.006675
-74.036414,0.053766,0.004149
-74.036414,0.053766,0.004149
-74.04441,0.053762,0.004145
-74.04441,0.053762,0.004145
-74.053215,0.053757,0.00414
-74.053215,0.053757,0.00414
-82,0.050511,0.000894
-82,0.050511,0.000894
-82.009981,0.05051,0.000893
-82.009981,0.05051,0.000893
-90,0.049617,0
